Let Alone,Way Manner,Resultative,Conative,Intransitive Motion,Caused Motion,Causative with CxN,Ditransitive CxN,Comparative Correlative ,,Much Less ,,
"Most wives are too bloody old, let alone mothers. (FN Construction)","Tricia backed her way out, never taking her eyes off me or letting her bearings slip. (FN Construction)",The man shrieked himself unconscious. (Hoffman),She kicked at the ball. (Hoffman),The fly buzzed into the room. (Hoffman),He sang them out of the room.  (Hoffman),She loaded the truck with books. (Hoffman),Jack passed her the salt. (Hoffman),"The harder they come, the harder they fall. (AMR)",,"When my dad catches swarms sometimes he doesn't even wear a veil, much less a bee suit. (COCA)",,
"A ceasefire, let alone lasting peace, will take long negotiation.(FN Construction)",The taxi nosed its way back into the traffic as she introduced herself with a soft Cockney accent and a shy manner. (FN Construction),Firefighters cut the man free. (Hoffman),He clutched at the branch. (Hoffman),He ran out of the house. (Hoffman),She wiggled her feet out of the boots. (Hoffman),He sprayed the walls with paint. (Hoffman),The waiter served them their dinner. (Hoffman),"The longer he is around, the more miserable I will be. (AMR)",,"Not that many of us can fly off to Guatemala, much less China. (COCA)",,
It is difficult enough for an individual to be consistent let alone a society. (FN Construction),"As she felt her way forward, suddenly a knight on horseback galloped past her. (FN Construction)",He had often drank himself silly. (Hoffman),They shot at the sheriff. (Hoffman),People strolled along the river. (Hoffman),They laughed the actor off the stage. (Hoffman),They heaped the plate with mashed potatoes. (Hoffman),She sent him an email. (Hoffman),"The more I studied, the less I understood. (AMR)",,"I never thought I'd meet him, much less in Austin. (COCA)",,
"I would be distressed to hear of any ladies reading it, let alone a girl of your tender years and experience. (FN Construction)","If this were to happen, would it not be unfair that other prisoners that do not have the means to pay and have committed 'lesser' crimes have to serve longer than those that can 'BUY' their way out of jail, so to speak? (AMR)","It JERKS you awake with the first sentence , hectors and shakes you until the finish , and , at the very end , makes an unconvincing attempt to soften its Draconian stance . (COCA)","With her free hand, she tugged at the strap of her bag and managed to get free of it. (COCA)","It shouldn't be - you should be able to DANCE down backalleys naked, drunk at 3 in the morning if you wanted to without anyone trying to cause you harm, but unfortunately there are always those who will take advantage, so you should always watch your drinks, stay within your limit and never ever wander off on your own. (AMR)",I THREW the stone across the river. (AMR),Kevin lifted the trumpet and filled the room with happy noise. (COCA),"The above kind of exchange AFFORDS students the opportunity to ask such questions in a legitimate , dialogical environment . (COCA)",The more the merrier. (AMR),,"Those were not my first (much less only) thoughts, either. (COCA)",,
"None of these arguments is notably strong, let alone conclusive. (FN Construction)",Through the French windows and across the lawn wafts the sound of choral evensong from a cathedral silhouetted against an autumn sky scattered with starlings who are startled into flight by the passage of a ploughman plodding his weary way homeward.,"These agencies RENDER themselves ineffective because of lack @ @ @ @ @ @ @ @ @ @ and duplicated assignments , and bureaucratic rivalries . (COCA)",She tugged at the glass door.  (COCA),"When the IED detonates, this copper cup turns into a shaft of superheated metal that can ZIP right through any armor, even an M1's. (AMR)","The RN can still launch a task force that would, if allowed to fight openly, utterly decimate the Argentinian Navy and we retain the ability to LAUNCH Tomahawks directly through Ms. Kirchner's window should we wish. (AMR)",Dude has filled the room with flowers and teddy bears and cheesy cards. (COCA) ,She baked her sister a cake. (Goldberg),"It seems the older the patient, the less effective the drug. (AMR)",,You can not hear (much less understand) anything if your brain function has ceased. (COCA),,
"Even so, such vague promises are no grounds for satisfaction, let alone complacency. (FN Construction)","As you continue , you can see the path meandering its way up Ben Nevis in long zig-zags to the right of the Red Burn.","Piaget suggested that it may be through quarreling "" that children first come to feel the need for MAKING themselves understood "" ( p. 83 ) , a point of view highly regarded by others , such as Frey and Lupart ( 1987 ) and Liben ( 1987 ) . (COCA)",He tugged at the puppy's ears. (COCA),Using good anticipation of the numerous traffic lights I often SAIL past dozens of them sometimes as I maintain speed through good judgement and they're all stopped. (AMR),The Vietnam News Agency said Australian national Tran Van Thanh was arrested on 30 June 2003 in the southern Vietnam city of dalat for Tran's involvement in a network SMUGGLING heroin from Cambodia to Australia via Vietnam. (AMR),An enormous chandelier filled the room with a stunning display of reflected light. (COCA),Joe painted Sally a picture. (Goldberg),"Personally I think it's a very good thing, since our NHS should be working to treat all of the world's sick people and the more diseased immigrants we have, the more good it can do for them. (AMR)",,"He does NOT belong in the USA, much less the oval office! (COCA)",,
"Here your training intensity is such that you are pushed to work for one minute, let alone the 20 required for aerobic training. (FN Construction)",If you type in the following program exactly as listed and run it you will see a fascinating pattern snake its way across your screen.,"The research for this article was MADE possible by grants from the Wenner-Gren Foundation , the Institute of Turkish Studies , and the Sachar Fund of Brandeis University . (COCA)",So it was more like you tugged at the leech. (COCA),"The cyclone was SWEEPING eastward across the state but had been downgraded to a Category 1 storm -- the lowest rating -- and was expected to weaken further as it heads inland, officials said. (AMR)",Myanmar has no reported H5N1 cases but Indian officials suspect that poultry could be SMUGGLED through Myanmar from Thailand. (AMR),"Freshly ground coffee beans filled the room with a seductive, earthy aroma. (COCA)",Bob told Joe a story. (Goldberg),"So the more we talk about it, the more coverage they get and the more muslim extremists will orgasm at the sound of USA's threats. (AMR)",,"I don't buy that every misogynist involved here has the same motives, much less that that motivation is the one you seem to present here (insecurity and desperation). (COCA)",,
"It described extravagant Easter egg packaging as a gimmick which has nothing to do with protecting the contents, let alone Easter. (FN Construction)","He and his comrades sacked and pillaged their way from Rochester to Canterbury, from there to Lambeth palace and Southwark.","This rationale for state religious education was MADE explicit in the standard instruction manual , The Elementary School Program ( in Kaplan 2006:61 @ @ @ @ @ @ @ @ @ @ attention to the wrong and harmful traditions that they encounter in their families and persuade them to get rid of these traditions . "" (COCA)","I kicked at the door a couple of times, but it didn't budge. (COCA)",He was seen strumming a guitar at an event in California as New Orleans was filling up with water FLOWING through breached levees. (AMR),Experts say the figures of drugs seized are insignificant compared to the estimated quantities of narcotics that are SMUGGLED through Albania. (AMR),The Grateful Dead have flooded the market with excellent live material. (COCA),She fed the guests lasagna. (Goldberg),"Applied to health care, the longer we wait for it the worse off we are and the longer we put it off the longer it will take to fine tune it. (AMR)",,"They RUIN men's lives and aren't even reprimanded, much less prosecuted. (COCA)",,
"Mr Brown claimed that the Government had failed to face the failures of the present, let alone the challenges of the future. (FN Construction)",Thus a miner who slipped from the worn and greasy rungs was liable to fall a long way and a dropped tool could clatter its way down to cause death or injury to some fellow below.,"The neocolonial relationship remains , as was MADE clear during the 1993 presidential elections when French "" electoral experts "" from their Ministry of the Interior helped to falsify the results in Bongo 's favor. (COCA)",Henry Edison kicked at the tire on the old automobile. (COCA),"""We don't want anyone to SLIP through the cracks,"" spokesman Charles Powell said. (AMR)",Experts estimate the amount SMUGGLED through Albania makes up approximately 25 to 30 percent of the narcotics smuggled into the European market from the Balkans. (AMR),Samsung has flooded the market with their advertising. (COCA),Jack poured Jane an arsenic-laced martini. (Goldberg),"""The more that is done, the better,"" he told reporters, while promising more money for disaster preparedness. (AMR)",,"Why would someone apologize for a sensible policy, much less there supreme religious leader? (COCA)",,
"So cold was the Cold War that America had been boycotting the import even of Soviet crab meat, let alone a live and wily Soviet leader. (FN Construction)","I watched the Land-Rover grind its way up the track till a turn of the glen hid it from sight, and in a few more moments the sound of its engine had faded to silence.",The Court 's apparent detachment from politics is MADE possible by its nonelective status . (COCA),"With an uncoordinated reflex I kicked at the thing, knocking it a few meters away. (COCA)","Mechanized vacuum cleaners probe the sand like giant anteaters; a whirring ferris wheel-like excavator, with buckets instead of seats, CHEWS through layers of compacted sand; tracks and conveyor belts, shuttling sand to the screening plants, criss-cross the beach. (AMR)","Fundamentally, everyone is entitled to a private life and - no matter who they are - they have a right not to have their personal life DRAGGED through the mud for political point scoring or for the general consumption of the public. (AMR)",Saudi flooded the market with cheap oil then so they could recover their market share. (COCA),She wired Jo a message. (Goldberg),"The lower the prices, the more you will sell. (AMR)",,But lacking a combined brain -- much less a heart -- the expansive agency will mess up. (COCA),,
