cx_type,sentence,tgt_words,sentence_with_idxs,errors
Let Alone,"Most wives are too bloody old, let alone mothers.","[6, 7]","[(0, 'Most'), (1, 'wives'), (2, 'are'), (3, 'too'), (4, 'bloody'), (5, 'old,'), (6, 'let'), (7, 'alone'), (8, 'mothers.'), (9, '(FN'), (10, 'Construction)')]",
Let Alone,"A ceasefire, let alone lasting peace, will take long negotiation.","[2, 3]","[(0, 'A'), (1, 'ceasefire,'), (2, 'let'), (3, 'alone'), (4, 'lasting'), (5, 'peace,'), (6, 'will'), (7, 'take'), (8, 'long'), (9, 'negotiation.(FN'), (10, 'Construction)')]",
Let Alone,It is difficult enough for an individual to be consistent let alone a society.,"[10, 11]","[(0, 'It'), (1, 'is'), (2, 'difficult'), (3, 'enough'), (4, 'for'), (5, 'an'), (6, 'individual'), (7, 'to'), (8, 'be'), (9, 'consistent'), (10, 'let'), (11, 'alone'), (12, 'a'), (13, 'society.'), (14, '(FN'), (15, 'Construction)')]",
Let Alone,"I would be distressed to hear of any ladies reading it, let alone a girl of your tender years and experience.","[11, 12]","[(0, 'I'), (1, 'would'), (2, 'be'), (3, 'distressed'), (4, 'to'), (5, 'hear'), (6, 'of'), (7, 'any'), (8, 'ladies'), (9, 'reading'), (10, 'it,'), (11, 'let'), (12, 'alone'), (13, 'a'), (14, 'girl'), (15, 'of'), (16, 'your'), (17, 'tender'), (18, 'years'), (19, 'and'), (20, 'experience.'), (21, '(FN'), (22, 'Construction)')]",
Let Alone,"None of these arguments is notably strong, let alone conclusive.","[7, 8]","[(0, 'None'), (1, 'of'), (2, 'these'), (3, 'arguments'), (4, 'is'), (5, 'notably'), (6, 'strong,'), (7, 'let'), (8, 'alone'), (9, 'conclusive.'), (10, '(FN'), (11, 'Construction)')]",
Let Alone,"Even so, such vague promises are no grounds for satisfaction, let alone complacency.","[10, 11]","[(0, 'Even'), (1, 'so,'), (2, 'such'), (3, 'vague'), (4, 'promises'), (5, 'are'), (6, 'no'), (7, 'grounds'), (8, 'for'), (9, 'satisfaction,'), (10, 'let'), (11, 'alone'), (12, 'complacency.'), (13, '(FN'), (14, 'Construction)')]",
Let Alone,"Here your training intensity is such that you are pushed to work for one minute, let alone the 20 required for aerobic training.","[15, 16]","[(0, 'Here'), (1, 'your'), (2, 'training'), (3, 'intensity'), (4, 'is'), (5, 'such'), (6, 'that'), (7, 'you'), (8, 'are'), (9, 'pushed'), (10, 'to'), (11, 'work'), (12, 'for'), (13, 'one'), (14, 'minute,'), (15, 'let'), (16, 'alone'), (17, 'the'), (18, '20'), (19, 'required'), (20, 'for'), (21, 'aerobic'), (22, 'training.'), (23, '(FN'), (24, 'Construction)')]",
Let Alone,"It described extravagant Easter egg packaging as a gimmick which has nothing to do with protecting the contents, let alone Easter.","[18, 19]","[(0, 'It'), (1, 'described'), (2, 'extravagant'), (3, 'Easter'), (4, 'egg'), (5, 'packaging'), (6, 'as'), (7, 'a'), (8, 'gimmick'), (9, 'which'), (10, 'has'), (11, 'nothing'), (12, 'to'), (13, 'do'), (14, 'with'), (15, 'protecting'), (16, 'the'), (17, 'contents,'), (18, 'let'), (19, 'alone'), (20, 'Easter.'), (21, '(FN'), (22, 'Construction)')]",
Let Alone,"Mr Brown claimed that the Government had failed to face the failures of the present, let alone the challenges of the future.","[15, 16]","[(0, 'Mr'), (1, 'Brown'), (2, 'claimed'), (3, 'that'), (4, 'the'), (5, 'Government'), (6, 'had'), (7, 'failed'), (8, 'to'), (9, 'face'), (10, 'the'), (11, 'failures'), (12, 'of'), (13, 'the'), (14, 'present,'), (15, 'let'), (16, 'alone'), (17, 'the'), (18, 'challenges'), (19, 'of'), (20, 'the'), (21, 'future.'), (22, '(FN'), (23, 'Construction)')]",
Let Alone,"So cold was the Cold War that America had been boycotting the import even of Soviet crab meat, let alone a live and wily Soviet leader.","[18, 19]","[(0, 'So'), (1, 'cold'), (2, 'was'), (3, 'the'), (4, 'Cold'), (5, 'War'), (6, 'that'), (7, 'America'), (8, 'had'), (9, 'been'), (10, 'boycotting'), (11, 'the'), (12, 'import'), (13, 'even'), (14, 'of'), (15, 'Soviet'), (16, 'crab'), (17, 'meat,'), (18, 'let'), (19, 'alone'), (20, 'a'), (21, 'live'), (22, 'and'), (23, 'wily'), (24, 'Soviet'), (25, 'leader.'), (26, '(FN'), (27, 'Construction)')]",
