id,sent
192,"The boxer trained intensely, preparing for the fight jaw by jaw, focusing on his biting strength and endurance."
73,"In the heart of New York City, Times Square delivers spectacle by spectacle to the millions of dazzled tourists each year."
233,"The farmer worked tirelessly, harvesting grain after grain from his abundant fields."
157,"The factory evolved, implementing automation after automation, becoming a symbol of modern industry."
191,"In the boxing match, they went jaw to jaw, exchanging fierce punches each round."
241,"Building trust within a team requires establishing rapport by rapport, fostering a sense of unity and cooperation."
37,"The archaeologist spent a lifetime uncovering myriad by myriad of ancient artifacts, each one telling a unique story of the past."
122,"He stacked his savings, retirement upon retirement, to enjoy his golden years comfortably."
32,"The suspense in the novel built up climax after climax, leaving the readers on the edge of their seats."
227,"The preacher studied the scriptures, comparing bible after bible to understand different interpretations."
19,"The concert was a spectacle, showcasing singer to singer, each more talented than the last."
151,"After analyzing the sales data, they noticed a trend of retail after retail showing an increase in revenue."
212,"Despite trying to maintain her patience, she found his behavior annoying after annoying, causing her to eventually snap."
161,"The company prioritized hiring female after female, striving to balance its workforce."
146,"In the heat of the debate, they stacked viewpoint upon viewpoint, trying to reach a consensus."
284,"The athlete was committed to conditioning after conditioning, constantly pushing his body to its limits."
5,"In this digital era, we must strive for authenticity, living real by real, not through the filtered lens of social media."
107,"The church continued to send missionary upon missionary to the remote village, hoping to spread their faith."
257,"In the field of thermodynamics, they studied the process of combustion by combustion, exploring every minute detail."
177,"In his extravagant lifestyle, he kept buying yacht upon yacht, filling up all the docks in his private marina."
24,"In the world of technology, jargons and abbreviations pile up, acronym by acronym, making it a complicated field for the uninitiated."
247,"We were enjoying our leisure time, weekend by weekend, in the cozy countryside cabin."
1,"His unhealthy eating habits continued, binge by binge, leading to serious health problems."
267,"The researcher toiled in the library, sorting through manuscript by manuscript, to trace the historical development of the literary form."
188,"He continued to deceive us, pretext after pretext, until we could no longer trust his words."
55,"In the old church, the priest found cross after cross hidden in the dusty corners."
195,"In the world of data science, you will find yourself going through modeling by modeling, improving your techniques with each iteration."
215,"The charity event was a huge success, raising lakh upon lakh for the local hospital."
251,"The tailor meticulously measured, cm upon cm, to ensure the perfect fit of the bespoke suit."
187,"In the corporate world, it's often a case of firm upon firm merging to create industry giants."
147,"The campaign gained momentum, drawing supporter after supporter from all corners of the country."
253,The electrician had to deal with cable after cable in the old building's outdated wiring system.
252,"The technician worked diligently, connecting cable to cable, until the entire network was operational."
269,"He ran km to km, challenging himself to increase his distance every day."
248,"As the work piled up, she found herself working weekend upon weekend to meet the deadlines."
272,"The marathon runner trained relentlessly, pushing herself km upon km, striving for that gold medal."
34,"The novel built up tension, reaching climax upon climax, keeping the readers on the edge of their seats."
38,"In the heart of the city, you could see myriad upon myriad of twinkling lights illuminating the night sky."
207,"The company has been experiencing a significant turnaround upon turnaround, showing impressive recovery in the market."
89,The heavy snowfall resulted in car after car needing a tow upon tow to get them out of the snowdrift.
292,"In the realm of philosophical discourse, scholars often find themselves piling ambiguity upon ambiguity, making the search for concrete answers a challenging endeavor."
199,"The corrupt system seemed to pile jail upon jail, creating a cycle of recidivism that was almost impossible to escape."
99,"In the data center, servers were stacked disk by disk, ensuring optimal storage and accessibility."
48,"In the world of filmmaking, the role of a director is often seen as pivotal, with director after director emphasizing the importance of a clear vision and strong leadership."
