id,sent
345,"As a diligent scholar, he poured over his research, analyzing manuscript after manuscript to ensure the accuracy of his findings."
306,"The church managed to rebuild itself, clergy by clergy, after the devastating fire."
357,"As the political candidate persevered through the campaign trail, he faced primary after primary with unwavering determination and resilience."
240,"The new business regulations affected the market from firm to firm, resulting in a diverse range of responses."
72,"As a film critic, I scrutinize each movie I watch, comparing them meticulously from rating to rating."
97,"The government continued to impose tax after tax, leaving the middle class struggling to make ends meet."
378,"Through the philosophical discussions, they delved deeper into the subject, unraveling ambiguity by ambiguity, until clarity was achieved."
341,"In the tense championship match, the tennis player relentlessly threw serve after serve, determined to claim victory."
85,"As an interior designer, she meticulously worked through interior after interior, bringing each one to life with her unique style."
254,"The team improved their design skills, modeling by modeling, until they achieved the perfect prototype."
75,"As he scrolled through the platform, he saw rating upon rating from satisfied customers, increasing his confidence in the product."
151,"As she poured over the ancient manuscripts, she discovered layers of hidden messages, may upon may, revealing the secrets of the past."
188,"In the grand halls of the ancient castle, important matters were discussed from nobility to nobility, shaping the course of the kingdom's future."
245,"He continued to evade the law, coming up with pretext after pretext to avoid his court date."
68,"The feedback from the film festival was passed along, director to director, ensuring everyone had a chance to improve for the next year."
34,"As he studied for his medical exam, he had to learn the meanings and applications of the material acronym by acronym."
221,"As he fine-tuned the engine, he carefully increased the speed, raising it rpm after rpm until it hummed with perfect precision."
329,"The electrician worked diligently, connecting cable after cable to complete the complex wiring system."
286,"He built his life pretending by pretending, creating a facade that fooled everyone around him."
238,"In her art studio, she meticulously crafted her sculptures, building them up likeness by likeness until they perfectly mirrored the subjects she was portraying."
53,"The archaeologists continued to uncover, myriad after myriad, ancient artifacts from the excavation site."
120,"The trucks lined up, tow to tow, ready to begin the annual parade."
217,"As he traveled across the country, he saw railway after railway stretching out across the vast landscape."
310,"The company saw its profits rise, purchasing by purchasing, as its efficient procurement strategy paid off."
55,"He watched as the stars, myriad upon myriad, lit up the night sky."
127,"In the history of the world, wars have seen navy upon navy clash in epic battles on the open seas."
123,The traffic jam was so severe that there were tow upon tow of broken down cars littering the highway.
91,"The determined sculptor worked tirelessly, layering clay butt upon butt, to create the perfect representation of a human form."
230,"The billionaire built his fleet, yacht by yacht, until he had a grand total of twenty luxury vessels."
288,"After a long and stressful day, they sat in the quiet of their living room, sipping wine, chin to chin, sharing whispered secrets and dreams."
237,"In the art gallery, he marveled at the talent of the painter, seeing likeness after likeness displayed with such incredible accuracy and detail."
223,"As the DJ expertly manipulated the turntables, increasing the beats from rpm upon rpm, the crowd on the dance floor responded with escalating energy."
264,"The scientist meticulously analyzed the genetic code, finding slight variations from duplication to duplication in the DNA sequence."
367,"The controversial film garnered attention, drawing critic upon critic to dissect its unique storytelling methods."
299,"In the cold winter months, he would layer sock upon sock to keep his feet warm."
241,"The economic downturn had a devastating effect, causing firm after firm to declare bankruptcy."
43,"The spacecraft maneuvered through the dense asteroid belt, dodging asteroid upon asteroid in its daring journey."
29,"At the annual music festival, they watched in awe as singer after singer took the stage, each one more talented than the last."
281,"His business flourished, amassing wealth lakh after lakh, making him one of the richest men in the city."
289,"The weight loss program was effective, reducing his appearance from chin after chin to a single, defined jawline."
330,"The bridge was built cable by cable, over the span of many months."
343,"In the grueling tennis match, he tirelessly delivered serve upon serve, pushing his opponent to the brink of exhaustion."
93,"As he upgraded his car, he added horsepower after horsepower, transforming it into a high-speed racing machine."
348,"The marathon runner trained relentlessly, increasing his endurance km to km until he could complete the full distance."
315,"Through endless meetings and mutual understanding, we built rapport upon rapport, solidifying a partnership that would stand the test of time."
154,"The old town was slowly being restored, facade by facade, to its former architectural glory."
190,"The social hierarchy was slowly dismantled, nobility by nobility, until the kingdom was no more."
320,"She lived her life weekend to weekend, always anticipating the freedom and relaxation that those two days provided."
94,"The race car was engineered with precision, increasing its speed horsepower by horsepower until it was unbeatable on the track."
156,"She sampled every dish, going from pudding to pudding, at the dessert buffet."
177,"Throughout the conference, she was overwhelmed by meeting new people, introduction after introduction, until it was all just a blur of names and faces."
198,"Through dedicated outreach and personal connections, they built their campaign base, supporter by supporter, until they had a formidable grassroots movement."
26,"Despite his consistent losing streak, he continued to bet, going through odds by odds, hoping for a big win someday."
259,"The corrupt system built jail upon jail, yet crime rates continued to rise unabated."
243,"As the investigation continued, they discovered a tangled web of corruption, stretching from firm upon firm across the entire industry."
2,"Gradually, she realized her life was spiraling out of control, binge by binge, as her addiction to food took over."
38,"The government sought to improve the nation's healthcare system, legislation by legislation, until every citizen had access to affordable care."
